Accident_ID,Date,Location,Severity,Weather,Road_Condition,Vehicle_Count,Casualties
40,2023-08-08,Nelsonshire,Fatal,Rainy,Oil Spill,4,5
41,2024-06-06,West David,Fatal,Stormy,Dry,1,10
42,2024-12-08,Wangburgh,Severe,Rainy,Oil Spill,3,2
43,2023-06-20,Walkerbury,Fatal,Snowy,Oil Spill,5,0
44,2022-07-26,Davidmouth,Fatal,Foggy,Wet,3,6
45,2024-07-10,Emilyville,Severe,Snowy,Icy,5,6
46,2024-06-20,New Brent,Minor,Stormy,Dry,5,10
47,2023-05-11,Watsonstad,Major,Foggy,Wet,2,3
48,2025-02-02,Melaniechester,Fatal,Clear,Icy,1,9
49,2024-03-03,South Christineborough,Major,Snowy,Dry,5,1
50,2022-11-06,Bretttown,Major,Rainy,Oil Spill,3,9
51,2024-08-27,South Bethany,Minor,Rainy,Icy,5,4
52,2024-09-09,South Angel,Major,Snowy,Dry,1,7
53,2024-07-22,Davidfort,Minor,Foggy,Dry,3,1
54,2025-04-16,North Robertmouth,Minor,Rainy,Icy,4,6
55,2025-03-05,West Dawntown,Major,Rainy,Wet,1,3
56,2024-09-10,Christopherburgh,Major,Snowy,Oil Spill,3,9
57,2023-11-13,West Rebecca,Minor,Stormy,Wet,3,7
58,2023-01-05,West Michele,Minor,Rainy,Snowy,5,10
59,2023-05-26,Stephanietown,Minor,Stormy,Dry,4,10
60,2023-06-06,Rebeccamouth,Major,Foggy,Wet,2,6
61,2023-08-27,Karenhaven,Severe,Clear,Oil Spill,3,7
62,2024-08-14,West Christinefort,Severe,Stormy,Wet,2,8
63,2022-10-28,Martinezview,Severe,Foggy,Oil Spill,3,2
64,2024-09-21,New Ernestberg,Severe,Rainy,Icy,3,2
65,2023-11-10,New Suzanneberg,Major,Stormy,Oil Spill,1,7
66,2024-02-01,West Juliehaven,Fatal,Snowy,Wet,4,6
67,2025-02-12,West Peter,Severe,Snowy,Dry,4,7
68,2023-11-12,Isabelfurt,Minor,Rainy,Snowy,4,1
69,2023-09-10,Martinfurt,Severe,Rainy,Oil Spill,4,6
70,2023-12-13,Hickmanhaven,Major,Snowy,Icy,2,2
71,2025-03-17,Morganville,Fatal,Rainy,Wet,2,6
72,2024-04-09,Whitefurt,Minor,Rainy,Snowy,1,4
73,2024-01-08,Port Brianmouth,Severe,Rainy,Icy,4,1
74,2024-06-13,Benjaminside,Minor,Clear,Wet,4,9
75,2023-02-02,Matthewborough,Minor,Rainy,Icy,3,9
76,2022-07-18,North Kristina,Fatal,Rainy,Icy,2,1
77,2022-11-13,West Donaldborough,Severe,Rainy,Snowy,4,0
78,2023-07-05,Gavinland,Minor,Clear,Wet,5,6
79,2024-02-03,Port Thomasport,Minor,Stormy,Dry,3,5
80,2022-11-22,Teresatown,Minor,Snowy,Dry,4,6
81,2024-05-10,East Harry,Fatal,Snowy,Dry,3,9
82,2023-12-28,Matthewville,Fatal,Rainy,Dry,1,5
83,2023-11-12,East Marcmouth,Minor,Foggy,Snowy,5,7
84,2024-04-02,North Kelsey,Severe,Snowy,Icy,1,10
85,2024-07-24,Parkerland,Fatal,Snowy,Dry,3,3
86,2025-04-22,Port Suzanneberg,Minor,Snowy,Snowy,4,1
87,2024-10-04,Port David,Severe,Clear,Snowy,2,0
88,2022-10-27,Patriciaborough,Fatal,Snowy,Snowy,2,9
89,2025-04-26,Sharonside,Major,Stormy,Dry,5,0
90,2022-09-05,Jonathanborough,Minor,Snowy,Icy,1,8
91,2024-03-18,Gregoryview,Minor,Rainy,Icy,3,8
92,2024-05-12,Walkerton,Fatal,Foggy,Wet,2,7
93,2023-12-03,Port Bianca,Severe,Stormy,Dry,2,0
94,2024-05-06,Walkerton,Minor,Snowy,Dry,2,3
95,2022-07-06,New Kelseychester,Major,Rainy,Wet,1,9
96,2024-08-15,Lake Chadside,Minor,Stormy,Icy,1,2
97,2023-04-26,South Melissa,Fatal,Clear,Oil Spill,1,6
98,2025-03-14,South Timothy,Minor,Snowy,Dry,5,9
99,2024-07-31,Leeton,Minor,Stormy,Wet,3,7
100,2024-02-05,Lake John,Major,Snowy,Wet,5,2
101,2024-09-22,Theresaport,Severe,Rainy,Wet,5,3
102,2023-08-07,Melanieside,Minor,Rainy,Oil Spill,2,1
103,2024-07-13,Rodgersbury,Severe,Foggy,Icy,1,10
104,2025-01-09,West Johnmouth,Fatal,Clear,Wet,5,9
105,2025-03-06,Cooperbury,Fatal,Snowy,Oil Spill,3,2
106,2024-04-22,Leport,Severe,Snowy,Snowy,1,4
107,2024-03-18,East Kimberlymouth,Severe,Stormy,Wet,4,7
108,2023-12-20,Tylermouth,Severe,Stormy,Snowy,2,1
109,2025-01-25,Port William,Severe,Foggy,Wet,5,1
110,2022-12-19,Williamsburgh,Major,Snowy,Oil Spill,5,1
111,2025-04-10,Mcgeebury,Fatal,Snowy,Snowy,3,1
112,2022-07-19,Lake Michellemouth,Severe,Clear,Snowy,2,9
113,2024-03-03,East Emily,Major,Stormy,Oil Spill,3,8
114,2024-09-17,New Timothyshire,Minor,Stormy,Wet,5,7
115,2023-09-17,Jeffreystad,Fatal,Rainy,Icy,5,0
116,2024-07-07,New Andrewberg,Minor,Rainy,Dry,4,1
117,2025-01-06,Susanchester,Fatal,Rainy,Snowy,4,0
118,2023-05-02,East Vanessamouth,Major,Snowy,Wet,1,8
119,2025-05-16,Everettview,Severe,Foggy,Icy,5,5
120,2023-01-22,Martinezmouth,Severe,Snowy,Icy,1,1
121,2023-09-06,East Brettton,Minor,Stormy,Wet,2,4
122,2024-06-11,Mahoneyfurt,Severe,Snowy,Oil Spill,2,7
123,2024-12-20,Barbaraland,Severe,Foggy,Wet,1,3
124,2024-12-05,Pricehaven,Major,Stormy,Snowy,5,9
125,2024-10-10,East Antonio,Fatal,Snowy,Wet,1,0
126,2023-01-02,Randolphhaven,Major,Rainy,Dry,5,9
127,2022-11-15,Justinfurt,Severe,Clear,Wet,2,8
128,2025-04-24,North Anaside,Minor,Snowy,Snowy,1,5
129,2024-08-04,New David,Minor,Stormy,Oil Spill,1,3
130,2025-03-23,North Danielmouth,Minor,Stormy,Snowy,3,2
131,2023-06-22,Williamborough,Severe,Clear,Icy,1,5
132,2024-10-31,Port Steven,Minor,Stormy,Dry,1,10
133,2023-11-27,Laurenbury,Major,Foggy,Icy,3,7
134,2024-02-01,Byrdland,Severe,Stormy,Dry,1,10
135,2022-10-24,Lisatown,Fatal,Clear,Oil Spill,4,3
136,2022-11-22,Franklinton,Severe,Rainy,Dry,4,6
137,2025-04-27,Rachelborough,Fatal,Snowy,Wet,5,5
138,2024-10-16,East Paula,Severe,Foggy,Snowy,2,10
139,2024-12-10,Coryland,Major,Snowy,Icy,1,8
140,2022-06-29,Chandlerview,Fatal,Foggy,Oil Spill,4,0
141,2024-06-07,Amyport,Fatal,Foggy,Icy,3,3
142,2023-12-29,Melissaborough,Severe,Foggy,Oil Spill,1,3
143,2023-11-26,New Luis,Minor,Rainy,Oil Spill,3,5
144,2023-10-16,Mooretown,Minor,Foggy,Wet,1,8
145,2025-03-28,Carolport,Minor,Snowy,Icy,5,3
146,2025-02-08,Lake Bobbytown,Major,Clear,Wet,3,8
147,2024-10-05,East Bradley,Minor,Rainy,Snowy,1,3
148,2023-03-10,South Georgeshire,Minor,Snowy,Icy,3,7
149,2023-06-17,New Thomasland,Fatal,Snowy,Oil Spill,4,3
150,2022-06-27,Lamton,Severe,Rainy,Wet,1,3
151,2023-05-23,Craigfurt,Severe,Foggy,Wet,5,1
152,2024-05-09,East Sarahfurt,Major,Rainy,Wet,2,1
153,2024-07-09,South Carrie,Minor,Clear,Icy,3,2
154,2023-03-11,North Kristenfort,Major,Snowy,Oil Spill,5,0
155,2023-03-24,Lake Lindaborough,Major,Foggy,Oil Spill,5,10
156,2023-01-14,Steveton,Major,Stormy,Snowy,5,8
157,2023-06-18,Paulaside,Severe,Snowy,Icy,3,8
158,2025-02-10,East Ryan,Severe,Rainy,Oil Spill,4,2
159,2024-06-09,Maureenshire,Severe,Rainy,Wet,5,10
160,2024-06-13,North Emilyshire,Severe,Stormy,Oil Spill,2,10
161,2022-06-29,New Cheryl,Severe,Rainy,Oil Spill,1,5
162,2023-12-18,North Amy,Minor,Stormy,Wet,4,8
163,2023-09-05,Kathrynside,Major,Foggy,Wet,5,6
164,2024-10-12,South Mary,Fatal,Rainy,Snowy,3,7
165,2025-04-20,Lake Brianbury,Fatal,Snowy,Oil Spill,1,0
166,2023-04-01,North Suzanne,Severe,Rainy,Dry,2,8
167,2024-06-01,Davisview,Fatal,Rainy,Wet,5,2
168,2024-09-22,East Michelleport,Major,Snowy,Dry,4,4
169,2022-10-13,Meyerfort,Major,Snowy,Icy,5,5
170,2025-04-23,North Ernestfurt,Severe,Clear,Wet,2,1
171,2023-10-13,Maryport,Fatal,Rainy,Snowy,5,1
172,2023-09-02,Josephview,Minor,Clear,Dry,1,5
173,2023-03-02,Robinborough,Major,Rainy,Wet,1,0
174,2025-01-02,New Taylor,Minor,Snowy,Dry,2,7
175,2024-11-29,Elizabethmouth,Major,Rainy,Snowy,2,5
176,2024-08-09,Fisherstad,Fatal,Snowy,Dry,2,6
177,2024-01-10,South Barbara,Fatal,Foggy,Oil Spill,1,2
178,2022-10-03,Port Courtney,Major,Stormy,Dry,4,0
179,2024-10-13,Lake Jasonton,Fatal,Rainy,Oil Spill,2,5
180,2024-05-11,Port Robertberg,Severe,Clear,Oil Spill,2,5
181,2023-10-18,North Judyside,Major,Foggy,Icy,2,4
182,2023-04-07,Joannahaven,Severe,Foggy,Dry,4,5
183,2022-12-24,South Lisa,Minor,Snowy,Icy,4,6
184,2022-08-20,Copelandfort,Major,Foggy,Oil Spill,4,1
185,2023-05-27,Johnsonhaven,Major,Rainy,Snowy,5,0
186,2023-09-18,Heatherbury,Minor,Stormy,Dry,4,1
187,2025-03-31,Lake Chelsea,Major,Snowy,Oil Spill,2,2
188,2023-11-29,New Robert,Minor,Foggy,Dry,4,1
189,2024-01-14,Chandlerchester,Minor,Stormy,Dry,5,7
190,2024-10-28,Kaitlynport,Fatal,Rainy,Wet,4,8
191,2025-01-04,West Jasminehaven,Minor,Rainy,Wet,1,8
192,2022-11-24,Fosterville,Major,Clear,Snowy,4,0
193,2025-01-30,North Taylorfort,Severe,Clear,Oil Spill,4,4
194,2024-08-22,Nelsonborough,Major,Clear,Snowy,3,7
195,2024-02-06,Lake Nancychester,Major,Clear,Icy,5,4
196,2025-05-04,New Brittanyshire,Major,Foggy,Snowy,5,8
197,2024-04-05,Williambury,Severe,Stormy,Snowy,1,10
198,2024-01-24,Martinborough,Minor,Stormy,Oil Spill,5,3
199,2023-09-27,Bensontown,Fatal,Snowy,Dry,3,0
200,2023-04-16,Rebeccastad,Major,Snowy,Snowy,3,6
201,2023-10-03,Johnsonland,Minor,Snowy,Wet,4,3
202,2022-08-26,East Jennyport,Major,Snowy,Oil Spill,4,9
203,2025-05-24,West Chelsey,Minor,Clear,Icy,2,2
204,2025-03-13,Michealstad,Severe,Rainy,Snowy,3,1
205,2023-11-26,Danielleberg,Minor,Stormy,Wet,3,5
206,2022-08-25,New Julia,Fatal,Stormy,Oil Spill,4,7
207,2023-05-18,Lake Jason,Severe,Clear,Icy,2,7
208,2024-10-05,Travisfort,Minor,Snowy,Dry,1,9
209,2022-10-27,Lake Kevinberg,Fatal,Stormy,Snowy,4,4
210,2023-03-16,South Mario,Major,Foggy,Oil Spill,3,9
211,2022-09-30,Lake Dustinland,Fatal,Snowy,Dry,5,1
212,2024-12-15,West Emily,Severe,Clear,Oil Spill,4,6
213,2023-03-05,Port Richard,Severe,Rainy,Dry,5,5
214,2024-11-29,Lake Heatherside,Minor,Rainy,Oil Spill,2,10
215,2023-09-05,Laurenburgh,Severe,Clear,Icy,1,9
216,2022-11-25,New David,Major,Foggy,Icy,1,10
217,2023-03-02,Colinland,Major,Snowy,Icy,5,5
218,2022-07-06,East Sierramouth,Minor,Snowy,Dry,4,5
219,2025-01-22,Gomezton,Minor,Rainy,Dry,1,0
220,2025-04-24,Randallchester,Major,Clear,Wet,5,2
221,2025-01-09,Melendezshire,Fatal,Foggy,Icy,3,4
222,2023-09-29,Darleneton,Fatal,Stormy,Oil Spill,2,5
223,2022-10-21,Beverlyburgh,Severe,Clear,Dry,4,5
224,2023-09-16,North Patriciachester,Minor,Rainy,Wet,5,0
225,2023-07-18,Andrewbury,Severe,Snowy,Snowy,4,8
226,2024-10-17,South Brian,Minor,Foggy,Snowy,4,9
227,2024-06-15,North Alexandrafurt,Minor,Foggy,Dry,1,8
228,2024-06-01,Debbieberg,Severe,Stormy,Oil Spill,2,6
229,2024-05-24,Jenniferland,Major,Stormy,Icy,4,0
230,2025-05-05,New Erin,Severe,Stormy,Dry,5,6
231,2022-10-04,Carrton,Major,Clear,Dry,3,10
232,2025-01-28,North Ronald,Major,Foggy,Snowy,4,1
233,2025-02-09,Sarabury,Fatal,Clear,Icy,1,8
234,2025-04-05,New Wendy,Severe,Snowy,Icy,1,7
235,2025-06-15,Robertsonland,Fatal,Snowy,Dry,2,7
236,2024-08-11,Anthonyfort,Fatal,Clear,Wet,5,10
237,2022-12-29,Matthewland,Major,Rainy,Icy,4,5
238,2025-03-17,New Brandonport,Fatal,Foggy,Dry,3,5
239,2023-12-13,West Melaniebury,Severe,Foggy,Oil Spill,1,7
240,2024-10-31,East Felicia,Fatal,Clear,Wet,3,7
241,2023-07-14,North Daniel,Fatal,Stormy,Dry,5,5
242,2024-03-13,Chadton,Major,Stormy,Snowy,4,6
243,2022-11-19,Kimland,Severe,Foggy,Oil Spill,3,5
244,2024-06-11,Walshfort,Minor,Rainy,Dry,1,5
245,2023-12-28,Hernandezfurt,Fatal,Foggy,Dry,2,9
246,2024-12-06,East Eric,Minor,Rainy,Snowy,1,7
247,2024-07-21,Jenniferport,Severe,Clear,Icy,2,10
248,2024-04-25,Ashleyberg,Severe,Foggy,Oil Spill,5,6
249,2024-02-20,Jacobborough,Major,Clear,Dry,3,3
250,2023-11-26,Deniseview,Major,Rainy,Icy,2,5
251,2023-08-14,Lisaland,Minor,Snowy,Wet,3,0
252,2024-06-08,North Karina,Minor,Stormy,Icy,1,0
253,2022-11-29,Matthewsberg,Major,Rainy,Wet,3,6
254,2022-09-28,Lake Keithstad,Severe,Rainy,Snowy,3,8
255,2022-10-30,Andersonchester,Severe,Snowy,Snowy,5,0
256,2025-05-20,New Beth,Major,Foggy,Dry,3,3
257,2024-02-27,West Kennethhaven,Minor,Foggy,Snowy,5,9
258,2023-05-05,Emilyshire,Severe,Foggy,Icy,4,6
259,2023-04-02,Valencialand,Fatal,Foggy,Snowy,5,2
260,2024-10-14,Travisbury,Severe,Clear,Oil Spill,4,2
261,2024-09-16,Isaacton,Minor,Foggy,Wet,5,3
262,2023-01-04,Leehaven,Major,Rainy,Snowy,5,9
263,2025-04-10,Sanfordshire,Major,Stormy,Dry,4,10
264,2023-04-30,West Aaron,Minor,Rainy,Oil Spill,2,8
265,2025-05-06,Lake John,Major,Clear,Wet,4,6
266,2025-02-02,North Denisechester,Fatal,Clear,Oil Spill,3,7
267,2025-01-20,Jonesbury,Minor,Snowy,Icy,1,0
268,2023-12-06,Joshuaburgh,Major,Snowy,Icy,4,3
269,2023-06-16,North Rachel,Severe,Rainy,Snowy,4,0
270,2023-06-08,Helenburgh,Fatal,Rainy,Oil Spill,1,3
271,2023-09-01,Johnshire,Major,Rainy,Snowy,2,4
272,2024-07-23,New Michaeltown,Minor,Foggy,Icy,4,4
273,2024-10-08,Markberg,Fatal,Clear,Snowy,3,0
274,2023-06-05,Erinstad,Major,Snowy,Dry,2,1
275,2025-01-30,Brownbury,Fatal,Snowy,Snowy,1,3
276,2024-07-04,Jacksonburgh,Fatal,Stormy,Dry,3,9
277,2025-06-04,New Marcus,Minor,Snowy,Icy,1,10
278,2023-06-21,Hollyton,Severe,Stormy,Wet,4,3
279,2024-07-21,East Charles,Minor,Foggy,Snowy,3,4
280,2024-09-26,South Shanefurt,Major,Snowy,Oil Spill,2,2
281,2023-11-19,Lindaport,Major,Stormy,Snowy,2,5
282,2024-09-26,Claytonberg,Major,Rainy,Dry,5,1
283,2024-08-12,Gregoryborough,Fatal,Foggy,Dry,1,9
284,2023-01-08,North Karenfurt,Severe,Stormy,Snowy,1,2
285,2024-01-18,East Donald,Severe,Stormy,Dry,4,10
286,2025-04-03,Masonhaven,Major,Foggy,Snowy,4,3
287,2024-12-09,Madelinefurt,Minor,Stormy,Dry,5,0
288,2023-11-21,Port Brandon,Minor,Stormy,Oil Spill,3,1
289,2022-08-16,Lake Ronnieview,Minor,Clear,Wet,2,3
290,2024-05-29,North Deannaburgh,Minor,Snowy,Dry,3,4
291,2024-04-06,New Luisview,Major,Stormy,Icy,5,10
292,2024-11-07,Wrightshire,Fatal,Stormy,Dry,5,2
293,2024-07-20,Samanthaville,Major,Snowy,Wet,3,7
294,2024-12-31,Jenniferberg,Fatal,Snowy,Dry,1,3
295,2022-09-02,New Kerriside,Minor,Snowy,Wet,5,6
296,2023-03-21,West Robertside,Fatal,Clear,Dry,4,8
297,2024-09-09,Donaldview,Minor,Clear,Dry,3,10
298,2022-12-19,West Jennifer,Minor,Stormy,Dry,3,5
299,2024-07-18,Andreamouth,Fatal,Stormy,Snowy,4,4
300,2024-04-20,South Katelynburgh,Major,Foggy,Wet,1,4
301,2024-08-23,Antoniofurt,Major,Foggy,Oil Spill,1,6
302,2025-05-20,Careyhaven,Major,Snowy,Wet,3,7
303,2023-02-07,Hunttown,Minor,Foggy,Wet,5,9
304,2024-04-08,South Lindaville,Major,Rainy,Oil Spill,4,9
305,2023-11-10,Hawkinsfort,Major,Clear,Oil Spill,5,8
306,2023-03-29,North Johnfurt,Minor,Foggy,Icy,4,3
307,2023-02-13,Tylertown,Severe,Foggy,Dry,1,8
308,2023-07-30,Franklinside,Severe,Rainy,Snowy,1,3
309,2025-06-12,Wardstad,Major,Rainy,Wet,2,4
310,2025-04-17,Danielport,Severe,Foggy,Icy,2,9
311,2022-11-26,South Maryberg,Fatal,Snowy,Oil Spill,1,10
312,2023-06-20,West Jordan,Major,Foggy,Wet,1,2
313,2022-07-04,Randymouth,Fatal,Rainy,Dry,2,8
314,2023-07-18,Port Jeffrey,Fatal,Stormy,Wet,2,5
315,2023-11-23,Lake Amanda,Severe,Foggy,Oil Spill,2,9
316,2022-12-30,West Samuel,Severe,Stormy,Icy,4,7
317,2024-06-24,Barkerstad,Severe,Stormy,Oil Spill,5,8
318,2025-05-31,Travisville,Minor,Stormy,Oil Spill,4,10
319,2024-07-14,Riceville,Minor,Clear,Oil Spill,3,6
320,2024-06-07,Edwardside,Minor,Clear,Icy,3,8
321,2023-02-14,New Russellside,Major,Stormy,Oil Spill,2,5
322,2022-12-15,West Lisachester,Fatal,Stormy,Oil Spill,5,9
323,2025-05-03,Millerfort,Fatal,Foggy,Dry,2,10
324,2025-01-17,West Cheyenne,Severe,Foggy,Wet,2,2
325,2024-10-25,New Michael,Severe,Stormy,Icy,4,0
326,2024-03-29,Ashleystad,Severe,Snowy,Oil Spill,5,3
327,2025-06-11,Woodfurt,Fatal,Rainy,Icy,5,2
328,2025-02-13,Chavezchester,Fatal,Stormy,Oil Spill,4,4
329,2023-10-16,Lynntown,Major,Snowy,Oil Spill,5,10
330,2024-11-17,Aaronfurt,Fatal,Clear,Wet,1,8
331,2025-06-08,New Jordan,Major,Foggy,Snowy,4,4
332,2023-08-25,South Madison,Fatal,Clear,Icy,5,8
333,2022-11-21,Port Shariton,Fatal,Snowy,Snowy,2,5
334,2023-04-30,Millermouth,Minor,Stormy,Dry,3,3
335,2022-07-08,Lake Sharonmouth,Fatal,Clear,Icy,2,1
336,2024-12-30,North Melissaberg,Minor,Snowy,Oil Spill,5,1
337,2023-06-25,Millerview,Severe,Rainy,Oil Spill,1,8
338,2024-10-01,Millerside,Major,Rainy,Snowy,3,6
339,2024-02-26,Adamstad,Fatal,Clear,Icy,3,8
340,2023-08-22,East Thomaschester,Severe,Rainy,Wet,2,6
341,2024-06-21,New Michael,Major,Clear,Wet,5,0
342,2022-09-06,East Peter,Minor,Snowy,Oil Spill,5,6
343,2024-10-22,West Paulmouth,Fatal,Clear,Oil Spill,2,4
344,2024-02-08,New Audreyside,Severe,Stormy,Oil Spill,5,5
345,2022-10-19,Swansonview,Major,Stormy,Oil Spill,2,9
346,2023-07-16,Donovanview,Major,Stormy,Oil Spill,5,8
347,2025-04-17,South Kathrynfort,Minor,Clear,Dry,3,10
348,2023-01-31,Christinefurt,Major,Snowy,Snowy,1,6
349,2024-06-07,Foxstad,Fatal,Rainy,Dry,1,1
350,2024-01-27,South Debrafort,Severe,Stormy,Icy,3,4
351,2024-08-15,Jacobberg,Major,Clear,Wet,4,7
352,2024-12-15,Hoganhaven,Minor,Clear,Icy,2,10
353,2024-07-26,Lake James,Minor,Rainy,Icy,5,6
354,2024-07-26,Youngside,Minor,Snowy,Dry,5,5
355,2024-05-03,Barbaratown,Minor,Stormy,Oil Spill,5,10
356,2023-05-06,West Coleton,Minor,Foggy,Icy,5,10
357,2024-09-24,East Kathryn,Severe,Snowy,Snowy,2,4
358,2024-02-09,Morenoport,Fatal,Stormy,Wet,2,7
359,2023-06-10,Ashleyburgh,Major,Clear,Icy,2,5
360,2024-01-22,North Martinville,Severe,Snowy,Snowy,1,10
361,2022-12-31,West David,Minor,Snowy,Dry,5,3
362,2023-11-04,West Scottland,Severe,Foggy,Icy,5,2
363,2024-03-12,West Amanda,Severe,Rainy,Oil Spill,5,8
364,2022-08-13,Newtonfurt,Fatal,Stormy,Oil Spill,5,7
365,2024-09-21,Richardmouth,Fatal,Snowy,Snowy,2,5
366,2023-05-31,Lake Lindaton,Minor,Rainy,Snowy,4,4
367,2025-02-14,New Thomas,Fatal,Rainy,Wet,4,10
368,2025-05-08,Carolineborough,Severe,Foggy,Oil Spill,2,1
369,2024-07-08,West Lauraberg,Minor,Clear,Dry,3,6
370,2023-12-28,Jensenshire,Minor,Stormy,Wet,3,0
371,2023-03-18,North David,Fatal,Snowy,Snowy,5,4
372,2022-07-03,West Alexander,Fatal,Clear,Oil Spill,1,8
373,2023-02-12,Schmittport,Major,Rainy,Snowy,1,1
374,2024-09-07,Davistown,Severe,Rainy,Dry,2,8
375,2024-01-06,Wrightchester,Fatal,Snowy,Snowy,2,4
376,2023-08-20,North Jordantown,Fatal,Foggy,Snowy,5,0
377,2023-05-30,South Martin,Minor,Snowy,Icy,1,5
378,2024-01-11,Port Tara,Severe,Foggy,Snowy,4,6
379,2025-02-03,South Tylertown,Minor,Foggy,Snowy,3,7
380,2024-07-04,Maryburgh,Fatal,Clear,Wet,3,7
381,2023-10-21,West Davidside,Major,Foggy,Dry,1,9
382,2025-03-26,West Scott,Severe,Clear,Icy,2,3
383,2024-01-08,Davidfurt,Fatal,Snowy,Dry,1,0
384,2022-11-25,East Sarah,Minor,Clear,Oil Spill,2,7
385,2024-12-17,Port Anthony,Fatal,Clear,Oil Spill,5,4
386,2025-03-22,Taylorfort,Fatal,Stormy,Dry,1,8
387,2023-10-15,Patriciafurt,Major,Stormy,Icy,1,8
388,2024-10-10,Barneston,Fatal,Stormy,Wet,5,9
389,2024-01-29,Barkerville,Severe,Stormy,Wet,2,6
390,2025-05-23,North Jill,Minor,Stormy,Wet,2,3
391,2024-04-16,Fryemouth,Severe,Stormy,Snowy,2,8
392,2023-10-27,West Taylor,Major,Rainy,Wet,2,6
393,2022-12-31,Grosschester,Major,Stormy,Icy,2,0
394,2025-06-03,Kristenmouth,Fatal,Snowy,Wet,4,1
395,2025-02-08,Port Alyssaside,Severe,Clear,Oil Spill,5,7
396,2023-01-29,East Carolmouth,Fatal,Foggy,Wet,2,6
397,2022-09-30,Stephaniemouth,Fatal,Rainy,Oil Spill,5,2
398,2022-12-30,East Heathermouth,Minor,Rainy,Wet,1,5
399,2024-01-16,North Alecview,Minor,Snowy,Snowy,2,6
400,2023-06-15,New Jeromeville,Fatal,Foggy,Wet,5,0
401,2024-07-21,Parkerfurt,Severe,Clear,Wet,5,8
402,2022-09-30,Longstad,Severe,Foggy,Icy,1,8
403,2023-08-20,Owenschester,Fatal,Stormy,Dry,1,8
404,2024-11-14,Heatherville,Severe,Foggy,Oil Spill,5,9
405,2024-07-29,New Mark,Minor,Foggy,Icy,3,9
406,2024-09-29,Sparksborough,Minor,Rainy,Dry,2,1
407,2025-03-10,Donovanport,Minor,Clear,Oil Spill,2,0
408,2024-05-31,South James,Major,Clear,Wet,5,6
409,2023-07-14,Lake Ryanview,Major,Clear,Icy,1,4
410,2023-01-25,Christopherton,Severe,Clear,Icy,4,1
411,2025-04-20,Sheenastad,Fatal,Clear,Icy,4,5
412,2022-11-06,West Dana,Fatal,Foggy,Dry,4,1
413,2024-06-11,Arthurbury,Major,Rainy,Snowy,3,10
414,2022-08-31,North Elaine,Severe,Foggy,Snowy,2,0
415,2023-10-17,East Maryview,Severe,Rainy,Icy,2,2
416,2024-07-09,Clintonfurt,Severe,Snowy,Dry,3,0
